guideline_id,item_id,status,location,rationale
CONSORT-2025,1,not_assessed,,
CONSORT-2025,2,not_assessed,,
CONSORT-2025,3,not_assessed,,
CONSORT-2025,4,not_assessed,,
CONSORT-2025,5,not_assessed,,
CONSORT-2025,6,not_assessed,,
CONSORT-2025,7,not_assessed,,
CONSORT-2025,8,not_assessed,,
CONSORT-2025,9,not_assessed,,
CONSORT-2025,10,not_assessed,,
CONSORT-2025,11,not_assessed,,
CONSORT-2025,12,not_assessed,,
CONSORT-2025,13,not_assessed,,
CONSORT-2025,14,not_assessed,,
CONSORT-2025,15,not_assessed,,
CONSORT-2025,16,not_assessed,,
CONSORT-2025,17,not_assessed,,
CONSORT-2025,18,not_assessed,,
CONSORT-2025,19,not_assessed,,
CONSORT-2025,20,not_assessed,,
CONSORT-2025,21,not_assessed,,
CONSORT-2025,22,not_assessed,,
CONSORT-2025,23,not_assessed,,
CONSORT-2025,24,not_assessed,,
CONSORT-2025,25,not_assessed,,
CONSORT-2025,26,not_assessed,,
CONSORT-2025,27,not_assessed,,
CONSORT-2025,28,not_assessed,,
CONSORT-2025,29,not_assessed,,
CONSORT-2025,30,not_assessed,,
